study,endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Abdelbasset 2020,BMI,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-2.2,-2.4,decrease
Abdelbasset 2020,HbA1c,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-0.4,-0.4,decrease
Abdelbasset 2020,HDL,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,2.1,2.3,increase
Abdelbasset 2020,HOMA-IR,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-0.8,-0.8,decrease
Abdelbasset 2020,LDL,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-5.9,-7.1,decrease
Abdelbasset 2020,Total Cholesterol,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-14.9,-12.8,decrease
Abdelbasset 2020,Triglycerides,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-20.6,-19.1,decrease
Bækkerud 2016,Body Mass,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,-0.9,-0.2,decrease
Bækkerud 2016,Flow-mediated Dilation,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,0.7,2.7,increase
Bækkerud 2016,VO2max,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,2.8,0.4,increase
Beetham 2019,Body Fat,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,0.2,decrease
Beetham 2019,Body Mass,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,-1.3,decrease
Beetham 2019,Diastolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,4.3,-11,decrease
Beetham 2019,Systolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,1.3,-9.8,decrease
Beetham 2019,VO2max,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,1.6,increase
