endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
BMI,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-2.2,-2.4
HbA1c,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-0.4,-0.4
HDL,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,2.1,2.3
HOMA-IR,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-0.8,-0.8
LDL,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-5.9,-7.1
Total Cholesterol,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-14.9,-12.8
Triglycerides,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-20.6,-19.1
Body Mass,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,-0.9,-0.2
Flow-mediated Dilation,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,0.7,2.7
VO2max,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,2.8,0.4
Body Fat,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,0.2
Body Mass,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,-1.3
Diastolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,4.3,-11
Systolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,1.3,-9.8
VO2max,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,1.6
Body Fat,Healthy,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,1,0
Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,-1,0
VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,3,4
Diastolic Blood Pressure,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-1.2,-1
Fasting Glucose,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,0.5,1
Fasting Insulin,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-2.8,-2.5
HDL,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,2.3,3.6
HOMA-IR,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-0.47,-0.51
LDL,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-12.3,-6
Systolic Blood Pressure,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-0.8,-1.9
Total Cholesterol,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-9,-2.8
Triglycerides,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-0.7,2
