endpoint,population,category_age,category_duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
BMI,T2D,> 50 y,5 - 10 weeks,Cycling,-2.2,-2.4,decrease
HbA1c,T2D,> 50 y,5 - 10 weeks,Cycling,-0.4,-0.4,decrease
HDL,T2D,> 50 y,5 - 10 weeks,Cycling,2.1,2.3,increase
HOMA-IR,T2D,> 50 y,5 - 10 weeks,Cycling,-0.8,-0.8,decrease
LDL,T2D,> 50 y,5 - 10 weeks,Cycling,-5.9,-7.1,decrease
Total Cholesterol,T2D,> 50 y,5 - 10 weeks,Cycling,-14.9,-12.8,decrease
Triglycerides,T2D,> 50 y,5 - 10 weeks,Cycling,-20.6,-19.1,decrease
Body Mass,Overweight/obese,30 - 50 y,5 - 10 weeks,Running,-0.9,-0.2,decrease
Flow-mediated Dilation,Overweight/obese,30 - 50 y,5 - 10 weeks,Running,0.7,2.7,increase
VO2max,Overweight/obese,30 - 50 y,5 - 10 weeks,Running,2.8,0.4,increase
Body Fat,Overweight/obese,> 50 y,> 10 weeks,Running,0.1,0.2,decrease
Body Mass,Overweight/obese,> 50 y,> 10 weeks,Running,0.1,-1.3,decrease
Diastolic Blood Pressure,Overweight/obese,> 50 y,> 10 weeks,Running,4.3,-11,decrease
Systolic Blood Pressure,Overweight/obese,> 50 y,> 10 weeks,Running,1.3,-9.8,decrease
VO2max,Overweight/obese,> 50 y,> 10 weeks,Running,0.1,1.6,increase
Body Fat,Healthy,< 30 y,5 - 10 weeks,Cycling,1,0,decrease
Body Mass,Healthy,< 30 y,5 - 10 weeks,Cycling,-1,0,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,3,4,increase
Diastolic Blood Pressure,Healthy,< 30 y,> 10 weeks,Running,-1.2,-1,decrease
Fasting Glucose,Healthy,< 30 y,> 10 weeks,Running,0.5,1,decrease
Fasting Insulin,Healthy,< 30 y,> 10 weeks,Running,-2.8,-2.5,decrease
HDL,Healthy,< 30 y,> 10 weeks,Running,2.3,3.6,increase
HOMA-IR,Healthy,< 30 y,> 10 weeks,Running,-0.47,-0.51,decrease
LDL,Healthy,< 30 y,> 10 weeks,Running,-12.3,-6,decrease
Systolic Blood Pressure,Healthy,< 30 y,> 10 weeks,Running,-0.8,-1.9,decrease
Total Cholesterol,Healthy,< 30 y,> 10 weeks,Running,-9,-2.8,decrease
Triglycerides,Healthy,< 30 y,> 10 weeks,Running,-0.7,2,decrease
VO2max,Healthy,< 30 y,> 10 weeks,Running,4.6,2.4,increase
BMI,Healthy,< 30 y,5 - 10 weeks,Cycling,0,0,decrease
Body Mass,Healthy,< 30 y,5 - 10 weeks,Cycling,0,0,decrease
Diastolic Blood Pressure,Healthy,< 30 y,5 - 10 weeks,Cycling,-3,-4,decrease
Systolic Blood Pressure,Healthy,< 30 y,5 - 10 weeks,Cycling,-2,-1,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,3.2,6.5,increase
BMI,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.1,-0.3,decrease
Body Mass,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.5,-0.5,decrease
C-reactive Protein,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-0.106181,-0.198741,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-1.1,-3.7,decrease
Fasting Glucose,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.19,0.18,decrease
Flow-mediated Dilation,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,1.21,1.07,increase
HDL,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.08,0.09,increase
LDL,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.09,0.07,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0,-6,decrease
Total Cholesterol,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.17,0.16,decrease
Triglycerides,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-0.02,-0.03,decrease
VO2max,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,5.1,4.4,increase
BMI,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-0.4,-0.3,decrease
Body Mass,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-1.2,-1.4,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,2,-4,decrease
HDL,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.11,-0.06,increase
LDL,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-0.01,-0.35,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,-3,-6,decrease
Total Cholesterol,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.12,-0.37,decrease
Triglycerides,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,0.03,0.1,decrease
VO2max,Cardiac Rehabilitation,> 50 y,> 10 weeks,Cycling,5.3,3.4,increase
Body Fat,Overweight/obese,30 - 50 y,5 - 10 weeks,Running,-0.83,-0.17,decrease
Body Mass,Overweight/obese,30 - 50 y,5 - 10 weeks,Running,-2.29,-1.32,decrease
VO2max,Overweight/obese,30 - 50 y,5 - 10 weeks,Running,2.94,3.1,increase
BMI,Healthy,> 50 y,> 10 weeks,Cycling,-0.5,-0.4,decrease
Body Fat,Healthy,> 50 y,> 10 weeks,Cycling,-0.5,-0.3,decrease
Body Mass,Healthy,> 50 y,> 10 weeks,Cycling,-1.3,-0.9,decrease
Diastolic Blood Pressure,Healthy,> 50 y,> 10 weeks,Cycling,-5,-5,decrease
Fasting Glucose,Healthy,> 50 y,> 10 weeks,Cycling,-0.6,0.7,decrease
HbA1c,Healthy,> 50 y,> 10 weeks,Cycling,-0.11,-0.12,decrease
HDL,Healthy,> 50 y,> 10 weeks,Cycling,-2.9,-3.6,increase
LDL,Healthy,> 50 y,> 10 weeks,Cycling,-9.6,-4.9,decrease
Systolic Blood Pressure,Healthy,> 50 y,> 10 weeks,Cycling,-10,-10.5,decrease
Total Cholesterol,Healthy,> 50 y,> 10 weeks,Cycling,-2.8,-11.1,decrease
Triglycerides,Healthy,> 50 y,> 10 weeks,Cycling,30.6,-71.1,decrease
BMI,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-0.26,-0.35,decrease
Body Fat,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-0.88,-1.28,decrease
Body Mass,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-0.82,-1.09,decrease
Diastolic Blood Pressure,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,1.6,-4.6,decrease
HDL,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-1.4,-2,increase
HOMA-IR,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,0.16,-0.27,decrease
LDL,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-4.78,-7.8,decrease
Systolic Blood Pressure,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-0.3,-4.6,decrease
Total Cholesterol,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-9.2,-12.9,decrease
Triglycerides,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,-15.3,-15.7,decrease
VO2max,Overweight/obese,< 30 y,5 - 10 weeks,Cycling,0.84,3.4,increase
BMI,Healthy,< 30 y,> 10 weeks,Cycling,-1,0,decrease
Body Fat,Healthy,< 30 y,> 10 weeks,Cycling,-2,-2,decrease
Body Mass,Healthy,< 30 y,> 10 weeks,Cycling,-1,-2,decrease
Fasting Glucose,Healthy,< 30 y,> 10 weeks,Cycling,0.4,0.4,decrease
Fasting Insulin,Healthy,< 30 y,> 10 weeks,Cycling,-1.7,-1.7,decrease
HOMA-IR,Healthy,< 30 y,> 10 weeks,Cycling,-0.2,-0.1,decrease
VO2max,Healthy,< 30 y,> 10 weeks,Cycling,5.19,6.88,increase
Body Mass,Healthy,< 30 y,5 - 10 weeks,Cycling,-2.7,0.3,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,5.9,2.7,increase
Body Mass,Healthy,< 30 y,< 5 weeks,Cycling,-0.2,-0.7,decrease
Body Mass,Healthy,< 30 y,< 5 weeks,Cycling,0.3,-0.7,decrease
BMI,Healthy,< 30 y,< 5 weeks,Cycling,0.1,-0.1,decrease
Body Fat,Healthy,< 30 y,< 5 weeks,Cycling,1.6,-0.7,decrease
Body Mass,Healthy,< 30 y,< 5 weeks,Cycling,0.5,-0.5,decrease
Fasting Glucose,Healthy,< 30 y,< 5 weeks,Cycling,-0.2,0,decrease
Fasting Insulin,Healthy,< 30 y,< 5 weeks,Cycling,5.2,19.1,decrease
HDL,Healthy,< 30 y,< 5 weeks,Cycling,-0.1,0,increase
HOMA-IR,Healthy,< 30 y,< 5 weeks,Cycling,0.13,0.53,decrease
Total Cholesterol,Healthy,< 30 y,< 5 weeks,Cycling,-0.3,0.1,decrease
VO2max,Healthy,< 30 y,< 5 weeks,Cycling,5.7,2.2,increase
Body Mass,Healthy,< 30 y,5 - 10 weeks,Running,-1.5,-2.3,decrease
Body Mass,Healthy,< 30 y,5 - 10 weeks,Running,-0.8,-2.3,decrease
HDL,Healthy,< 30 y,5 - 10 weeks,Running,-0.06,0.05,increase
LDL,Healthy,< 30 y,5 - 10 weeks,Running,0,-0.09,decrease
Total Cholesterol,Healthy,< 30 y,5 - 10 weeks,Running,0.15,0.132,decrease
Triglycerides,Healthy,< 30 y,5 - 10 weeks,Running,-0.1,-0.14,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Running,4.9,1,increase
VO2max,Healthy,< 30 y,5 - 10 weeks,Running,3.9,1,increase
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,1.73,5.38,increase
BMI,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.2,0,decrease
Body Fat,Healthy,30 - 50 y,< 5 weeks,Cycling,-1,-0.8,decrease
Body Mass,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.5,0,decrease
Diastolic Blood Pressure,Healthy,30 - 50 y,< 5 weeks,Cycling,0,1,decrease
Fasting Glucose,Healthy,30 - 50 y,< 5 weeks,Cycling,0.4,0.2,decrease
Fasting Insulin,Healthy,30 - 50 y,< 5 weeks,Cycling,1,1.3,decrease
HbA1c,Healthy,30 - 50 y,< 5 weeks,Cycling,-1.3,-3.2,decrease
HDL,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.1,increase
LDL,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.6,-0.2,decrease
Systolic Blood Pressure,Healthy,30 - 50 y,< 5 weeks,Cycling,1,3,decrease
Total Cholesterol,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.7,-0.3,decrease
Triglycerides,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.1,-0.2,decrease
VO2max,Healthy,30 - 50 y,< 5 weeks,Cycling,2,1,increase
BMI,T2D,30 - 50 y,< 5 weeks,Cycling,-0.1,0,decrease
Body Fat,T2D,30 - 50 y,< 5 weeks,Cycling,-1.1,-0.5,decrease
Body Mass,T2D,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.1,decrease
Diastolic Blood Pressure,T2D,30 - 50 y,< 5 weeks,Cycling,-6,-5,decrease
Fasting Glucose,T2D,30 - 50 y,< 5 weeks,Cycling,-0.3,0.2,decrease
Fasting Insulin,T2D,30 - 50 y,< 5 weeks,Cycling,-0.9,-1,decrease
HbA1c,T2D,30 - 50 y,< 5 weeks,Cycling,-2.2,-1.7,decrease
HDL,T2D,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.1,increase
LDL,T2D,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.2,decrease
Systolic Blood Pressure,T2D,30 - 50 y,< 5 weeks,Cycling,-2,-9,decrease
Total Cholesterol,T2D,30 - 50 y,< 5 weeks,Cycling,-0.5,-0.2,decrease
Triglycerides,T2D,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.2,decrease
VO2max,T2D,30 - 50 y,< 5 weeks,Cycling,1.9,-0.9,increase
C-reactive Protein,Healthy,< 30 y,< 5 weeks,Cycling,-0.03183,-0.16,decrease
HOMA-IR,Healthy,< 30 y,< 5 weeks,Cycling,-0.53,0.01,decrease
BMI,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-0.3,-0.5,decrease
Body Mass,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-0.8,-1.1,decrease
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-7.1,-7.8,decrease
Fasting Glucose,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-0.7,-0.8,decrease
Flow-mediated Dilation,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,6.1,2.9,increase
HDL,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,1.4,3.1,increase
LDL,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-5.9,-3.2,decrease
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-9.4,-10.6,decrease
Total Cholesterol,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-25,-7,decrease
Triglycerides,Metabolic Syndrome,> 50 y,5 - 10 weeks,Running,-30.6,-15.4,decrease
Body Fat,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-0.5,-1,decrease
Body Mass,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,0.2,-0.8,decrease
C-reactive Protein,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,0.2,-1.1,decrease
Diastolic Blood Pressure,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-2.9,-3.5,decrease
Fasting Glucose,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-0.1,0.1,decrease
Fasting Insulin,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-0.6,-0.7,decrease
HDL,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,0,0,increase
LDL,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,0,0.3,decrease
Systolic Blood Pressure,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-5.6,-4.3,decrease
Total Cholesterol,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,0,0.2,decrease
Triglycerides,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,0,-0.1,decrease
VO2max,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,5.1,4.3,increase
Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,-7,0,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,-9,2,decrease
VO2max,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,3.6,1.7,increase
C-reactive Protein,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,-1.14,-1.72,decrease
HDL,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,0,-0.07,increase
