endpoint,population,age,duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect,bsln
BMI,T2D,54.65,8,Cycling,-2.2,-2.4,decrease,36.5
HbA1c,T2D,54.65,8,Cycling,-0.4,-0.4,decrease,47.545
HDL,T2D,54.65,8,Cycling,2.1,2.3,increase,0.97279793
HOMA-IR,T2D,54.65,8,Cycling,-0.8,-0.8,decrease,4.8
LDL,T2D,54.65,8,Cycling,-5.9,-7.1,decrease,2.52202073
Total Cholesterol,T2D,54.65,8,Cycling,-14.9,-12.8,decrease,4.98186528
Triglycerides,T2D,54.65,8,Cycling,-20.6,-19.1,decrease,2.20734463
Body Mass,Overweight/obese,40,6,Running,-0.9,-0.2,decrease,92.8
Flow-mediated Dilation,Overweight/obese,40,6,Running,0.7,2.7,increase,6.5
VO2max,Overweight/obese,40,6,Running,2.8,0.4,increase,34.05
Body Fat,Overweight/obese,61.85,12,Running,0.1,0.2,decrease,36.4
Body Mass,Overweight/obese,61.85,12,Running,0.1,-1.3,decrease,85.55
Diastolic Blood Pressure,Overweight/obese,61.85,12,Running,4.3,-11,decrease,77.3
Systolic Blood Pressure,Overweight/obese,61.85,12,Running,1.3,-9.8,decrease,133.4
VO2max,Overweight/obese,61.85,12,Running,0.1,1.6,increase,22
Body Fat,Healthy,23.5,6,Cycling,1,0,decrease,24.5
Body Mass,Healthy,23.5,6,Cycling,-1,0,decrease,72
VO2max,Healthy,23.5,6,Cycling,3,4,increase,41
Diastolic Blood Pressure,Healthy,25.5,16,Running,-1.2,-1,decrease,74.75
Fasting Glucose,Healthy,25.5,16,Running,0.5,1,decrease,4.6509
Fasting Insulin,Healthy,25.5,16,Running,-2.8,-2.5,decrease,58.68525
HDL,Healthy,25.5,16,Running,2.3,3.6,increase,1.51683938
HOMA-IR,Healthy,25.5,16,Running,-0.47,-0.51,decrease,1.705
LDL,Healthy,25.5,16,Running,-12.3,-6,decrease,2.74740933
Systolic Blood Pressure,Healthy,25.5,16,Running,-0.8,-1.9,decrease,117.05
Total Cholesterol,Healthy,25.5,16,Running,-9,-2.8,decrease,4.62694301
Triglycerides,Healthy,25.5,16,Running,-0.7,2,decrease,0.80282486
VO2max,Healthy,25.5,16,Running,4.6,2.4,increase,29.6
BMI,Healthy,21.5,6,Cycling,0,0,decrease,23.7
