study,endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
Abdelbasset 2020,BMI,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-2.2,-2.4
Abdelbasset 2020,HbA1c,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-0.4,-0.4
Abdelbasset 2020,HDL,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,2.1,2.3
Abdelbasset 2020,HOMA-IR,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-0.8,-0.8
Abdelbasset 2020,LDL,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-5.9,-7.1
Abdelbasset 2020,Total Cholesterol,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-14.9,-12.8
Abdelbasset 2020,Triglycerides,T2D,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,-20.6,-19.1
Bækkerud 2016,Body Mass,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,-0.9,-0.2
Bækkerud 2016,Flow-mediated Dilation,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,0.7,2.7
Bækkerud 2016,VO2max,Overweight/obese,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,2.8,0.4
Beetham 2019,Body Fat,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,0.2
Beetham 2019,Body Mass,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,-1.3
Beetham 2019,Diastolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,4.3,-11
Beetham 2019,Systolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,1.3,-9.8
Beetham 2019,VO2max,Overweight/obese,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,0.1,1.6
Burgomaster 2008,Body Fat,Healthy,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,1,0
Burgomaster 2008,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,-1,0
Burgomaster 2008,VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,3,4
Ciolac 2010,Diastolic Blood Pressure,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-1.2,-1
Ciolac 2010,Fasting Glucose,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,0.5,1
Ciolac 2010,Fasting Insulin,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-2.8,-2.5
Ciolac 2010,HDL,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,2.3,3.6
Ciolac 2010,HOMA-IR,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-0.47,-0.51
Ciolac 2010,LDL,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-12.3,-6
Ciolac 2010,Systolic Blood Pressure,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-0.8,-1.9
Ciolac 2010,Total Cholesterol,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-9,-2.8
Ciolac 2010,Triglycerides,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,-0.7,2
Ciolac 2010,VO2max,Healthy,< 30 y,16,> 10 weeks,0,< 0.5,Running,4.6,2.4
Cocks 2013,BMI,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0,0
Cocks 2013,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0,0
Cocks 2013,Diastolic Blood Pressure,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-3,-4
Cocks 2013,Systolic Blood Pressure,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-2,-1
Cocks 2013,VO2max,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,3.2,6.5
Conraads 2015,BMI,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0.1,-0.3
Conraads 2015,Body Mass,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0.5,-0.5
Conraads 2015,C-reactive Protein,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,-0.106181,-0.198741
Conraads 2015,Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,-1.1,-3.7
Conraads 2015,Fasting Glucose,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0.19,0.18
Conraads 2015,Flow-mediated Dilation,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,1.21,1.07
Conraads 2015,HDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0.08,0.09
Conraads 2015,LDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0.09,0.07
Conraads 2015,Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0,-6
Conraads 2015,Total Cholesterol,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,0.17,0.16
Conraads 2015,Triglycerides,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,-0.02,-0.03
Conraads 2015,VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,5.1,4.4
Currie 2015,BMI,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,-0.4,-0.3
Currie 2015,Body Mass,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,-1.2,-1.4
Currie 2015,Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,2,-4
Currie 2015,HDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,0.11,-0.06
Currie 2015,LDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,-0.01,-0.35
Currie 2015,Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,-3,-6
Currie 2015,Total Cholesterol,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,0.12,-0.37
Currie 2015,Triglycerides,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,0.03,0.1
Currie 2015,VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,5.3,3.4
Earnest 2013,Body Fat,Overweight/obese,30 - 50 y,6,5 - 10 weeks,1,> 0.5,Running,-0.83,-0.17
Earnest 2013,Body Mass,Overweight/obese,30 - 50 y,6,5 - 10 weeks,1,> 0.5,Running,-2.29,-1.32
Earnest 2013,VO2max,Overweight/obese,30 - 50 y,6,5 - 10 weeks,1,> 0.5,Running,2.94,3.1
Eguchi 2012,BMI,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.5,-0.4
Eguchi 2012,Body Fat,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.5,-0.3
Eguchi 2012,Body Mass,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-1.3,-0.9
Eguchi 2012,Diastolic Blood Pressure,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-5,-5
Eguchi 2012,Fasting Glucose,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.6,0.7
Eguchi 2012,HbA1c,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.11,-0.12
Eguchi 2012,HDL,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-2.9,-3.6
Eguchi 2012,LDL,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-9.6,-4.9
Eguchi 2012,Systolic Blood Pressure,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-10,-10.5
Eguchi 2012,Total Cholesterol,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-2.8,-11.1
Eguchi 2012,Triglycerides,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,30.6,-71.1
Fisher 2015,BMI,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.26,-0.35
Fisher 2015,Body Fat,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.88,-1.28
Fisher 2015,Body Mass,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.82,-1.09
Fisher 2015,Diastolic Blood Pressure,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,1.6,-4.6
Fisher 2015,HDL,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-1.4,-2
Fisher 2015,HOMA-IR,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.16,-0.27
Fisher 2015,LDL,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-4.78,-7.8
Fisher 2015,Systolic Blood Pressure,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.3,-4.6
Fisher 2015,Total Cholesterol,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-9.2,-12.9
Fisher 2015,Triglycerides,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-15.3,-15.7
Fisher 2015,VO2max,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.84,3.4
Gillen 2016,BMI,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-1,0
Gillen 2016,Body Fat,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-2,-2
Gillen 2016,Body Mass,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-1,-2
Gillen 2016,Fasting Glucose,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,0.4,0.4
Gillen 2016,Fasting Insulin,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-1.7,-1.7
Gillen 2016,HOMA-IR,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-0.2,-0.1
Gillen 2016,VO2max,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,5.19,6.88
