age,height,weight,heart_rate,vo2_max,resting_heart_rate,steps
56,56.4,178.6,144,34.3,62,15410
46,88.3,187.3,149,37.7,48,8164
32,50,168.9,145,37.7,76,9787
25,70.8,165.1,129,47.5,50,17924
38,76.1,173,70,40.2,70,14518
56,52.7,190.9,73,55.7,50,2081
36,98.7,196.5,119,59.7,79,5005
40,61.3,177.3,95,40.3,49,10408
28,65.2,183.1,163,51.2,58,2334
28,65.2,195.2,100,49.7,46,13103
41,61.5,154.9,61,35.8,84,10944
53,50.1,161.6,116,57.5,57,13953
57,86.5,185.4,166,36,49,12943
41,98.3,191.2,119,52.1,80,5897
20,61.2,192.9,79,40.4,80,6648
39,83.2,170.8,81,41,63,11674
19,87.1,154.5,162,43.7,64,19166
41,92.4,171.9,63,55.9,66,5794
47,71.1,161.5,115,34.2,75,17344
55,65.1,164.6,152,31.6,48,14874
19,66.3,188.6,169,42.1,47,7597
38,85.6,153.8,117,31.7,81,9050
50,90.8,191.4,147,50.6,69,7051
29,59.1,171.4,124,52.8,81,19126
39,68.5,179.8,147,55.6,48,6544
42,95.1,154.5,117,52.3,83,14875
44,90.3,166.9,89,57.5,51,6355
59,99.2,154.5,135,52.4,51,10285
45,87.7,198.1,78,58.1,69,15308
33,69.7,190.4,160,35.8,59,19759
32,79.5,173,121,45,51,4516
20,83.1,161.2,163,59.8,48,15155
54,53.9,196.7,166,50.4,78,18474
24,77.2,167.2,177,56.4,63,17403
38,85.5,158,127,30.9,82,3479
26,58.4,178.2,138,56.2,71,19338
56,89,197.2,143,50.9,49,10214
35,79.2,150.2,103,35.1,57,14310
21,97.6,161.9,143,30.8,58,4547
42,52.1,196.9,177,37.8,74,6923
31,63.3,158.6,178,57.5,54,18572
26,80.1,155.7,120,50,76,18207
43,64.8,178.5,80,57.6,45,2459
19,85.7,193.1,69,43.4,68,4236
37,88,173.9,89,58.1,73,2580
45,55.1,199.7,83,43.9,51,16439
24,75.7,184,107,36.1,75,6715
25,75.4,153.7,114,34.5,61,12626
52,68.5,199.6,163,59.8,74,7897
31,96.6,170.4,111,40,69,10664
34,91.4,164.4,163,34.8,72,19242
53,84.9,177.9,97,30.3,80,13181
57,85.7,165.2,126,38.6,51,13898
21,73.1,154.3,152,56.7,79,3712
19,96,150.1,67,46,64,18899
23,84.7,172.5,88,49,58,9355
59,86.4,191.8,178,57.7,74,12585
21,93.1,178.6,69,45.4,45,19759
46,63.7,200,128,55.1,82,5669
35,90.4,164.3,134,39.7,69,16382
43,59.8,164,127,59.3,78,17436
51,67.3,158,108,32.4,52,5262
27,66.8,158.2,117,51.7,64,6638
53,98.9,164.3,94,49.8,74,4866
31,92.8,189.6,109,35.8,48,11251
48,85.1,195.3,99,41.7,65,10948
32,86.4,198.8,179,39.4,71,2187
25,78.1,161.6,71,32.8,54,12573
31,97.4,194.1,144,47.5,67,9408
40,74.8,166.4,75,59.8,77,18679
57,69,155.6,137,46.8,55,5533
38,58.2,193.5,144,46.4,63,6140
33,89.3,181.8,107,31.2,55,6042
35,86.7,158.2,150,34.2,48,9733
41,69.2,171.5,159,45.4,67,16676
43,51.3,164.4,60,59.6,49,8005
42,91.9,186.8,124,56.3,49,7870
58,50.6,172.7,81,40.2,62,5904
46,85.2,199.5,74,46.3,61,17467
32,98.5,152.7,175,46.6,47,13973
18,71.9,167.8,143,50.6,52,16208
42,61.7,174.1,126,50.6,84,4261
24,85.2,175.2,73,53.7,67,15045
26,90.9,165.8,132,30.7,67,19804
41,77.3,186.5,78,58.3,46,16508
18,98.4,193.7,99,32.1,83,18862
25,52.6,196.9,157,44.3,65,8577
41,75.2,190.3,63,57.6,68,8785
28,85.9,192.5,92,44.6,82,10884
34,93.1,177.5,102,31.9,64,5038
25,59,191.3,96,36.9,83,2193
52,90,165.2,125,47.4,71,18442
52,77.6,169.9,86,32.6,83,13801
50,69.8,165.8,104,42.7,51,4580
22,56.6,173.4,140,39.9,77,14879
59,93.3,164.3,172,54.5,73,14245
56,57.9,198.1,109,33.3,54,15633
58,65.5,165.6,176,50.5,54,13277
45,64.5,154.9,154,42.2,56,9623
24,93.6,176.3,122,47.6,47,2220
26,83.6,152.9,164,36.2,47,2875
25,89.8,155.5,65,48.3,57,13654
29,62.5,161,175,50.2,75,3196
51,81.2,173.2,154,32.1,71,18719
50,78.6,171.7,126,54.7,50,10416
40,91.6,190,163,55.8,71,16370
41,95.3,187,126,31.9,79,3247
54,50.6,171.3,156,48.1,53,15250
52,83.7,166.7,175,47.8,50,9111
57,52.6,165.8,118,30.4,50,3886
39,77.4,188.7,72,40.3,84,2310
44,64.4,152.6,80,59.1,70,12760
52,65.3,150.6,123,46.7,63,19988
18,67.6,189.8,96,58,60,5546
52,81.1,173.9,139,50.3,67,7351
54,66.7,156.5,144,30.9,55,19381
31,86.6,161.8,179,32.3,60,2496
20,70.2,196.6,107,51.7,73,19347
18,53.4,193,115,46.6,82,12196
22,89.2,185.5,103,33.8,64,3198
43,64.3,174.1,72,48.4,65,12537
31,71.6,176,63,54.3,72,7910
56,84.3,198.8,154,52.6,77,7484
44,66.6,198.3,132,37.4,84,15397
26,52.8,160.8,171,37.7,70,2576
32,68.7,190.6,92,59,54,2053
32,97.2,159.9,96,56.6,78,17989
43,82.1,160.7,112,39.6,53,13624
59,83.6,183.8,160,54.7,80,17835
30,81.6,170.3,83,34.9,55,2228
49,59.9,196.6,148,35.9,54,18190
56,70.9,154.5,110,35.4,51,14022
49,87.5,175.6,100,32.6,82,2984
21,55.1,195.9,88,55.6,60,14660
47,63.9,195.2,118,47.4,70,12041
54,63.8,157.8,99,37.8,76,2531
40,71.6,168.3,110,55.5,75,15711
56,99,181,109,54.1,76,13227
32,53.4,158,170,33,56,10028
46,75.9,198.4,95,49.3,71,18945
53,59,195.7,138,51.7,66,2089
30,98.5,158.3,168,51.5,59,7735
49,55.7,156.1,119,51.7,52,5145
24,70.2,154.3,77,35.1,48,3292
39,86.9,195.5,79,39.5,52,9559
45,85.2,159.7,64,55.3,67,5781
19,71.1,170.8,77,57,60,4391
