age,height,weight,heart_rate,vo2_max,resting_heart_rate,steps,active_minutes
56,56.4,178.6,144,34.3,62,15410,170
46,88.3,187.3,149,37.7,48,8164,111
32,50,168.9,145,37.7,76,9787,50
25,70.8,165.1,129,47.5,50,17924,31
38,76.1,173,70,40.2,70,14518,153
56,52.7,190.9,73,55.7,50,2081,92
36,98.7,196.5,119,59.7,79,5005,84
40,61.3,177.3,95,40.3,49,10408,23
28,65.2,183.1,163,51.2,58,2334,163
28,65.2,195.2,100,49.7,46,13103,157
41,61.5,154.9,61,35.8,84,10944,142
53,50.1,161.6,116,57.5,57,13953,20
57,86.5,185.4,166,36,49,12943,56
41,98.3,191.2,119,52.1,80,5897,19
20,61.2,192.9,79,40.4,80,6648,70
39,83.2,170.8,81,41,63,11674,120
19,87.1,154.5,162,43.7,64,19166,54
41,92.4,171.9,63,55.9,66,5794,56
47,71.1,161.5,115,34.2,75,17344,171
55,65.1,164.6,152,31.6,48,14874,127
19,66.3,188.6,169,42.1,47,7597,150
38,85.6,153.8,117,31.7,81,9050,32
50,90.8,191.4,147,50.6,69,7051,45
29,59.1,171.4,124,52.8,81,19126,85
39,68.5,179.8,147,55.6,48,6544,118
42,95.1,154.5,117,52.3,83,14875,93
44,90.3,166.9,89,57.5,51,6355,89
59,99.2,154.5,135,52.4,51,10285,23
45,87.7,198.1,78,58.1,69,15308,75
33,69.7,190.4,160,35.8,59,19759,25
32,79.5,173,121,45,51,4516,52
20,83.1,161.2,163,59.8,48,15155,111
54,53.9,196.7,166,50.4,78,18474,122
24,77.2,167.2,177,56.4,63,17403,18
38,85.5,158,127,30.9,82,3479,158
26,58.4,178.2,138,56.2,71,19338,91
56,89,197.2,143,50.9,49,10214,119
35,79.2,150.2,103,35.1,57,14310,107
21,97.6,161.9,143,30.8,58,4547,93
42,52.1,196.9,177,37.8,74,6923,52
31,63.3,158.6,178,57.5,54,18572,75
26,80.1,155.7,120,50,76,18207,141
43,64.8,178.5,80,57.6,45,2459,132
19,85.7,193.1,69,43.4,68,4236,118
37,88,173.9,89,58.1,73,2580,111
