age,height,weight,heart_rate,vo2_max
56,56.4,178.6,144,34.3
46,88.3,187.3,149,37.7
32,50,168.9,145,37.7
25,70.8,165.1,129,47.5
38,76.1,173,70,40.2
56,52.7,190.9,73,55.7
36,98.7,196.5,119,59.7
40,61.3,177.3,95,40.3
28,65.2,183.1,163,51.2
28,65.2,195.2,100,49.7
41,61.5,154.9,61,35.8
53,50.1,161.6,116,57.5
57,86.5,185.4,166,36
41,98.3,191.2,119,52.1
20,61.2,192.9,79,40.4
39,83.2,170.8,81,41
19,87.1,154.5,162,43.7
41,92.4,171.9,63,55.9
47,71.1,161.5,115,34.2
55,65.1,164.6,152,31.6
19,66.3,188.6,169,42.1
38,85.6,153.8,117,31.7
50,90.8,191.4,147,50.6
29,59.1,171.4,124,52.8
39,68.5,179.8,147,55.6
42,95.1,154.5,117,52.3
44,90.3,166.9,89,57.5
59,99.2,154.5,135,52.4
45,87.7,198.1,78,58.1
33,69.7,190.4,160,35.8
32,79.5,173,121,45
20,83.1,161.2,163,59.8
54,53.9,196.7,166,50.4
24,77.2,167.2,177,56.4
38,85.5,158,127,30.9
26,58.4,178.2,138,56.2
56,89,197.2,143,50.9
35,79.2,150.2,103,35.1
21,97.6,161.9,143,30.8
42,52.1,196.9,177,37.8
31,63.3,158.6,178,57.5
26,80.1,155.7,120,50
43,64.8,178.5,80,57.6
19,85.7,193.1,69,43.4
37,88,173.9,89,58.1
45,55.1,199.7,83,43.9
24,75.7,184,107,36.1
25,75.4,153.7,114,34.5
52,68.5,199.6,163,59.8
31,96.6,170.4,111,40
34,91.4,164.4,163,34.8
53,84.9,177.9,97,30.3
57,85.7,165.2,126,38.6
21,73.1,154.3,152,56.7
19,96,150.1,67,46
23,84.7,172.5,88,49
59,86.4,191.8,178,57.7
21,93.1,178.6,69,45.4
46,63.7,200,128,55.1
35,90.4,164.3,134,39.7
43,59.8,164,127,59.3
51,67.3,158,108,32.4
27,66.8,158.2,117,51.7
53,98.9,164.3,94,49.8
31,92.8,189.6,109,35.8
48,85.1,195.3,99,41.7
32,86.4,198.8,179,39.4
25,78.1,161.6,71,32.8
31,97.4,194.1,144,47.5
40,74.8,166.4,75,59.8
57,69,155.6,137,46.8
38,58.2,193.5,144,46.4
33,89.3,181.8,107,31.2
35,86.7,158.2,150,34.2
41,69.2,171.5,159,45.4
43,51.3,164.4,60,59.6
42,91.9,186.8,124,56.3
58,50.6,172.7,81,40.2
46,85.2,199.5,74,46.3
32,98.5,152.7,175,46.6
18,71.9,167.8,143,50.6
42,61.7,174.1,126,50.6
24,85.2,175.2,73,53.7
26,90.9,165.8,132,30.7
41,77.3,186.5,78,58.3
18,98.4,193.7,99,32.1
25,52.6,196.9,157,44.3
41,75.2,190.3,63,57.6
28,85.9,192.5,92,44.6
34,93.1,177.5,102,31.9
25,59,191.3,96,36.9
52,90,165.2,125,47.4
52,77.6,169.9,86,32.6
50,69.8,165.8,104,42.7
22,56.6,173.4,140,39.9
59,93.3,164.3,172,54.5
56,57.9,198.1,109,33.3
58,65.5,165.6,176,50.5
45,64.5,154.9,154,42.2
24,93.6,176.3,122,47.6
26,83.6,152.9,164,36.2
25,89.8,155.5,65,48.3
29,62.5,161,175,50.2
51,81.2,173.2,154,32.1
50,78.6,171.7,126,54.7
40,91.6,190,163,55.8
41,95.3,187,126,31.9
54,50.6,171.3,156,48.1
52,83.7,166.7,175,47.8
57,52.6,165.8,118,30.4
39,77.4,188.7,72,40.3
44,64.4,152.6,80,59.1
52,65.3,150.6,123,46.7
18,67.6,189.8,96,58
52,81.1,173.9,139,50.3
54,66.7,156.5,144,30.9
31,86.6,161.8,179,32.3
20,70.2,196.6,107,51.7
18,53.4,193,115,46.6
22,89.2,185.5,103,33.8
43,64.3,174.1,72,48.4
31,71.6,176,63,54.3
56,84.3,198.8,154,52.6
44,66.6,198.3,132,37.4
26,52.8,160.8,171,37.7
32,68.7,190.6,92,59
32,97.2,159.9,96,56.6
43,82.1,160.7,112,39.6
59,83.6,183.8,160,54.7
30,81.6,170.3,83,34.9
49,59.9,196.6,148,35.9
56,70.9,154.5,110,35.4
49,87.5,175.6,100,32.6
21,55.1,195.9,88,55.6
47,63.9,195.2,118,47.4
54,63.8,157.8,99,37.8
40,71.6,168.3,110,55.5
56,99,181,109,54.1
32,53.4,158,170,33
46,75.9,198.4,95,49.3
53,59,195.7,138,51.7
30,98.5,158.3,168,51.5
49,55.7,156.1,119,51.7
24,70.2,154.3,77,35.1
39,86.9,195.5,79,39.5
45,85.2,159.7,64,55.3
19,71.1,170.8,77,57
59,67.3,172.4,99,38.4
23,69.9,180,60,30.7
45,63.2,153.6,78,55.8
45,60.3,161.3,146,41.3
37,74.2,196.6,85,39.9
47,63.4,195.4,172,40.4
28,64.4,189.1,88,42.5
45,82.8,151,118,41.3
42,98.4,166.4,122,47
56,80.2,181.4,157,32.4
50,53.8,163.8,142,59.1
18,53.8,195.5,121,58.1
44,97.6,181.7,107,58
30,64.9,153.6,121,56.4
58,54.6,195.5,77,49.8
20,80,197.9,125,36.6
56,81.2,153.9,86,31.5
23,82.4,176.6,65,33
25,63.4,165.2,162,39.7
44,50.8,169.6,129,45.1
26,98.3,159,118,59.8
54,62.5,178.9,65,43.1
50,83.8,197.9,90,45.7
59,85.3,175.2,164,50.9
41,80.5,154.1,163,35.4
32,65.6,181,153,58
49,63.6,167,115,45.9
49,79.9,192.8,113,38.3
41,93.3,171.7,144,58.1
58,97.3,159.6,100,48.8
29,55.3,159.6,167,44.5
56,57.7,188.4,77,47.4
19,97.2,163.3,146,52.4
20,86.8,188.4,161,34.6
54,94.1,160.3,82,55.9
34,60.1,166.1,151,58.8
19,79.4,173.3,95,47
19,85.1,197.2,84,50.5
45,84,196.6,66,55.8
40,70.4,160.3,141,41.2
54,50.8,167.9,79,59.8
49,79.1,157.5,64,50.4
50,62.7,175.5,77,42.7
18,72.5,173,165,50.3
36,97.9,195,163,45.7
19,70,196.5,92,33.3
43,92,169.2,138,53.9
49,59.4,174.6,94,46.9
23,83.6,194.8,170,53.9
49,98.9,190.3,169,34.6
21,55.1,150.2,124,46.2
28,50.4,166,122,53
34,71.7,171.1,144,59.6
55,54.6,161.5,131,56.5
41,87.4,160,130,55.9
22,95.7,151.9,100,37.4
51,71.7,182.2,109,55.1
23,62.9,163.1,167,35.1
39,71.7,152.6,163,35.9
28,86.2,161.5,163,33.3
33,50.5,190.1,89,55.7
50,79.5,192.6,97,33.2
26,80.7,174.2,94,34.1
23,81.9,170.8,125,37.4
33,62.1,198.9,105,47.2
46,85.7,160,67,56.4
20,54.6,160.8,161,42.5
37,60,164.6,127,46.4
53,93.9,158.6,96,35
36,86.9,169,144,38
43,50.7,195.5,72,34
20,62.4,180.8,132,42.3
36,60.7,170.6,104,47.7
37,63.5,196.7,88,38.5
49,62.4,152.4,100,55.4
24,53.1,160.5,115,59.4
58,72.9,178.3,147,33.6
50,86.6,180.8,75,30.5
57,80.3,152,71,53.7
56,83.6,170.2,125,35.7
35,54.1,182.5,121,40.6
57,97.6,184.9,78,41.8
18,91.9,181.9,89,57.5
28,90.3,166,75,49.8
45,91.1,154.7,147,31.2
42,96.6,171.4,72,30.4
40,77.2,156.4,128,36
48,60,197.4,82,39.5
47,80.8,173.8,121,44.5
59,87.1,165.9,179,55.1
52,86.9,188.3,161,39.4
24,76.1,174.9,90,41.3
33,53.4,165.5,112,39.9
43,68.6,190.6,179,30.3
19,96,193.4,76,58.7
18,79.2,183.7,108,34.2
29,76.9,152.3,108,38.6
22,63.4,178.3,126,33.9
54,68.4,188.2,85,44.7
49,94.8,156.8,72,58
26,83.3,161.4,167,33
58,89.4,194.1,97,43.2
52,72.7,151,81,30.7
36,81.5,187.6,144,53.1
33,62.4,173.7,88,49.2
20,85.3,172.3,104,51
37,71.4,150.4,105,44.2
41,72.1,191,98,57.2
50,82.5,168,128,42.3
41,96.8,177,137,45.4
28,53.2,183.9,141,50.9
25,91.2,185.1,127,45.6
53,64.6,197.8,156,35.7
55,72.2,176.6,98,39.5
57,51.1,170,79,32.8
37,65.1,197.7,136,43
52,75.1,182.1,159,48.3
42,52.8,164.9,168,33.6
52,74.6,156.3,127,48.9
42,96.4,192.1,94,56.8
46,55.3,168.1,67,40.1
35,88.2,183,111,36.7
35,70.5,173.5,99,56.8
19,82.8,159.9,172,50.8
52,63,180.1,170,33.2
33,58,153,95,42.2
58,58,170.7,65,50.2
53,53.5,177.3,179,47.2
50,59.3,171.8,145,48.6
21,83.2,187.4,129,47
50,94.1,191.4,165,53.9
31,90.7,188.6,159,39.6
38,84.3,151.9,132,51.3
37,55.5,159.7,75,59.7
25,64.5,176.8,162,41.7
24,65.5,196.7,105,53.7
20,62.5,191.7,118,37.4
34,75.8,192.1,97,38.5
50,76.8,165.2,156,58
29,67.8,171.5,77,30.8
39,67.7,173.5,71,36.5
39,91.4,157.9,113,44.5
47,89.5,151.6,150,42.1
55,65.4,197.3,106,48.9
55,95.7,162,60,35.8
25,97.6,162,74,32.1
44,66.3,154.2,170,41.1
44,67.7,196.4,150,45.7
51,75.3,179,139,46.9
38,97.1,183.4,80,48
47,93.8,195.6,60,46.5
50,55.1,167.3,152,37.4
45,69.6,181.1,126,52.9
50,77.7,151.9,71,32.6
22,75.2,159.3,87,36
36,59.7,191.6,98,52.2
21,92.9,188.3,96,38.4
52,83.8,167.5,154,44.8
34,91.9,168.8,119,39.8
45,92.9,176.7,90,45.2
47,87.4,150,117,40.4
46,72,162.1,156,59.8
23,80.5,160.4,156,40.7
52,58,162.5,170,48.8
58,83.7,190.3,163,56.7
54,59,164,70,49.1
