age,height,weight,heart_rate,vo2_max,resting_heart_rate
56,56.4,178.6,144,34.3,62
46,88.3,187.3,149,37.7,48
32,50,168.9,145,37.7,76
25,70.8,165.1,129,47.5,50
38,76.1,173,70,40.2,70
56,52.7,190.9,73,55.7,50
36,98.7,196.5,119,59.7,79
40,61.3,177.3,95,40.3,49
28,65.2,183.1,163,51.2,58
28,65.2,195.2,100,49.7,46
41,61.5,154.9,61,35.8,84
53,50.1,161.6,116,57.5,57
57,86.5,185.4,166,36,49
41,98.3,191.2,119,52.1,80
20,61.2,192.9,79,40.4,80
39,83.2,170.8,81,41,63
19,87.1,154.5,162,43.7,64
41,92.4,171.9,63,55.9,66
47,71.1,161.5,115,34.2,75
55,65.1,164.6,152,31.6,48
19,66.3,188.6,169,42.1,47
38,85.6,153.8,117,31.7,81
50,90.8,191.4,147,50.6,69
29,59.1,171.4,124,52.8,81
39,68.5,179.8,147,55.6,48
42,95.1,154.5,117,52.3,83
44,90.3,166.9,89,57.5,51
59,99.2,154.5,135,52.4,51
45,87.7,198.1,78,58.1,69
33,69.7,190.4,160,35.8,59
32,79.5,173,121,45,51
20,83.1,161.2,163,59.8,48
54,53.9,196.7,166,50.4,78
24,77.2,167.2,177,56.4,63
38,85.5,158,127,30.9,82
26,58.4,178.2,138,56.2,71
56,89,197.2,143,50.9,49
35,79.2,150.2,103,35.1,57
21,97.6,161.9,143,30.8,58
42,52.1,196.9,177,37.8,74
31,63.3,158.6,178,57.5,54
26,80.1,155.7,120,50,76
43,64.8,178.5,80,57.6,45
19,85.7,193.1,69,43.4,68
37,88,173.9,89,58.1,73
45,55.1,199.7,83,43.9,51
24,75.7,184,107,36.1,75
25,75.4,153.7,114,34.5,61
52,68.5,199.6,163,59.8,74
31,96.6,170.4,111,40,69
34,91.4,164.4,163,34.8,72
53,84.9,177.9,97,30.3,80
57,85.7,165.2,126,38.6,51
21,73.1,154.3,152,56.7,79
19,96,150.1,67,46,64
23,84.7,172.5,88,49,58
59,86.4,191.8,178,57.7,74
21,93.1,178.6,69,45.4,45
46,63.7,200,128,55.1,82
35,90.4,164.3,134,39.7,69
43,59.8,164,127,59.3,78
51,67.3,158,108,32.4,52
27,66.8,158.2,117,51.7,64
53,98.9,164.3,94,49.8,74
31,92.8,189.6,109,35.8,48
48,85.1,195.3,99,41.7,65
32,86.4,198.8,179,39.4,71
25,78.1,161.6,71,32.8,54
31,97.4,194.1,144,47.5,67
40,74.8,166.4,75,59.8,77
57,69,155.6,137,46.8,55
38,58.2,193.5,144,46.4,63
33,89.3,181.8,107,31.2,55
35,86.7,158.2,150,34.2,48
41,69.2,171.5,159,45.4,67
43,51.3,164.4,60,59.6,49
42,91.9,186.8,124,56.3,49
58,50.6,172.7,81,40.2,62
46,85.2,199.5,74,46.3,61
32,98.5,152.7,175,46.6,47
18,71.9,167.8,143,50.6,52
42,61.7,174.1,126,50.6,84
24,85.2,175.2,73,53.7,67
26,90.9,165.8,132,30.7,67
41,77.3,186.5,78,58.3,46
18,98.4,193.7,99,32.1,83
25,52.6,196.9,157,44.3,65
41,75.2,190.3,63,57.6,68
28,85.9,192.5,92,44.6,82
34,93.1,177.5,102,31.9,64
25,59,191.3,96,36.9,83
52,90,165.2,125,47.4,71
52,77.6,169.9,86,32.6,83
50,69.8,165.8,104,42.7,51
22,56.6,173.4,140,39.9,77
59,93.3,164.3,172,54.5,73
56,57.9,198.1,109,33.3,54
58,65.5,165.6,176,50.5,54
45,64.5,154.9,154,42.2,56
24,93.6,176.3,122,47.6,47
26,83.6,152.9,164,36.2,47
25,89.8,155.5,65,48.3,57
29,62.5,161,175,50.2,75
51,81.2,173.2,154,32.1,71
50,78.6,171.7,126,54.7,50
40,91.6,190,163,55.8,71
41,95.3,187,126,31.9,79
54,50.6,171.3,156,48.1,53
52,83.7,166.7,175,47.8,50
57,52.6,165.8,118,30.4,50
39,77.4,188.7,72,40.3,84
44,64.4,152.6,80,59.1,70
52,65.3,150.6,123,46.7,63
18,67.6,189.8,96,58,60
52,81.1,173.9,139,50.3,67
54,66.7,156.5,144,30.9,55
31,86.6,161.8,179,32.3,60
20,70.2,196.6,107,51.7,73
18,53.4,193,115,46.6,82
22,89.2,185.5,103,33.8,64
43,64.3,174.1,72,48.4,65
31,71.6,176,63,54.3,72
56,84.3,198.8,154,52.6,77
44,66.6,198.3,132,37.4,84
26,52.8,160.8,171,37.7,70
32,68.7,190.6,92,59,54
32,97.2,159.9,96,56.6,78
43,82.1,160.7,112,39.6,53
59,83.6,183.8,160,54.7,80
30,81.6,170.3,83,34.9,55
49,59.9,196.6,148,35.9,54
56,70.9,154.5,110,35.4,51
49,87.5,175.6,100,32.6,82
21,55.1,195.9,88,55.6,60
47,63.9,195.2,118,47.4,70
54,63.8,157.8,99,37.8,76
40,71.6,168.3,110,55.5,75
56,99,181,109,54.1,76
32,53.4,158,170,33,56
46,75.9,198.4,95,49.3,71
53,59,195.7,138,51.7,66
30,98.5,158.3,168,51.5,59
49,55.7,156.1,119,51.7,52
24,70.2,154.3,77,35.1,48
39,86.9,195.5,79,39.5,52
45,85.2,159.7,64,55.3,67
19,71.1,170.8,77,57,60
59,67.3,172.4,99,38.4,78
23,69.9,180,60,30.7,66
45,63.2,153.6,78,55.8,67
45,60.3,161.3,146,41.3,49
37,74.2,196.6,85,39.9,81
47,63.4,195.4,172,40.4,51
28,64.4,189.1,88,42.5,81
45,82.8,151,118,41.3,70
42,98.4,166.4,122,47,72
56,80.2,181.4,157,32.4,48
50,53.8,163.8,142,59.1,76
18,53.8,195.5,121,58.1,82
44,97.6,181.7,107,58,53
30,64.9,153.6,121,56.4,80
58,54.6,195.5,77,49.8,70
20,80,197.9,125,36.6,55
56,81.2,153.9,86,31.5,64
23,82.4,176.6,65,33,82
25,63.4,165.2,162,39.7,59
44,50.8,169.6,129,45.1,79
26,98.3,159,118,59.8,53
54,62.5,178.9,65,43.1,77
50,83.8,197.9,90,45.7,55
59,85.3,175.2,164,50.9,66
41,80.5,154.1,163,35.4,50
32,65.6,181,153,58,81
49,63.6,167,115,45.9,65
49,79.9,192.8,113,38.3,56
41,93.3,171.7,144,58.1,51
58,97.3,159.6,100,48.8,46
29,55.3,159.6,167,44.5,83
56,57.7,188.4,77,47.4,68
19,97.2,163.3,146,52.4,70
20,86.8,188.4,161,34.6,69
54,94.1,160.3,82,55.9,64
34,60.1,166.1,151,58.8,84
19,79.4,173.3,95,47,46
19,85.1,197.2,84,50.5,79
45,84,196.6,66,55.8,77
40,70.4,160.3,141,41.2,61
54,50.8,167.9,79,59.8,66
49,79.1,157.5,64,50.4,45
50,62.7,175.5,77,42.7,81
18,72.5,173,165,50.3,74
36,97.9,195,163,45.7,50
19,70,196.5,92,33.3,58
43,92,169.2,138,53.9,80
49,59.4,174.6,94,46.9,77
23,83.6,194.8,170,53.9,82
49,98.9,190.3,169,34.6,83
21,55.1,150.2,124,46.2,50
28,50.4,166,122,53,70
34,71.7,171.1,144,59.6,68
55,54.6,161.5,131,56.5,77
41,87.4,160,130,55.9,52
22,95.7,151.9,100,37.4,78
51,71.7,182.2,109,55.1,78
23,62.9,163.1,167,35.1,68
39,71.7,152.6,163,35.9,46
28,86.2,161.5,163,33.3,52
33,50.5,190.1,89,55.7,69
50,79.5,192.6,97,33.2,74
26,80.7,174.2,94,34.1,76
23,81.9,170.8,125,37.4,74
33,62.1,198.9,105,47.2,51
46,85.7,160,67,56.4,68
20,54.6,160.8,161,42.5,53
37,60,164.6,127,46.4,60
53,93.9,158.6,96,35,46
36,86.9,169,144,38,79
43,50.7,195.5,72,34,78
20,62.4,180.8,132,42.3,66
36,60.7,170.6,104,47.7,63
37,63.5,196.7,88,38.5,65
49,62.4,152.4,100,55.4,56
24,53.1,160.5,115,59.4,55
