endpoint,population,age,duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
BMI,T2D,54.65,8,Cycling,-2.2,-2.4,decrease
HbA1c,T2D,54.65,8,Cycling,-0.4,-0.4,decrease
HDL,T2D,54.65,8,Cycling,2.1,2.3,increase
HOMA-IR,T2D,54.65,8,Cycling,-0.8,-0.8,decrease
LDL,T2D,54.65,8,Cycling,-5.9,-7.1,decrease
Total Cholesterol,T2D,54.65,8,Cycling,-14.9,-12.8,decrease
Triglycerides,T2D,54.65,8,Cycling,-20.6,-19.1,decrease
Body Mass,Overweight/obese,40,6,Running,-0.9,-0.2,decrease
Flow-mediated Dilation,Overweight/obese,40,6,Running,0.7,2.7,increase
VO2max,Overweight/obese,40,6,Running,2.8,0.4,increase
Body Fat,Overweight/obese,61.85,12,Running,0.1,0.2,decrease
Body Mass,Overweight/obese,61.85,12,Running,0.1,-1.3,decrease
Diastolic Blood Pressure,Overweight/obese,61.85,12,Running,4.3,-11,decrease
Systolic Blood Pressure,Overweight/obese,61.85,12,Running,1.3,-9.8,decrease
VO2max,Overweight/obese,61.85,12,Running,0.1,1.6,increase
Body Fat,Healthy,23.5,6,Cycling,1,0,decrease
Body Mass,Healthy,23.5,6,Cycling,-1,0,decrease
VO2max,Healthy,23.5,6,Cycling,3,4,increase
Diastolic Blood Pressure,Healthy,25.5,16,Running,-1.2,-1,decrease
Fasting Glucose,Healthy,25.5,16,Running,0.5,1,decrease
Fasting Insulin,Healthy,25.5,16,Running,-2.8,-2.5,decrease
HDL,Healthy,25.5,16,Running,2.3,3.6,increase
HOMA-IR,Healthy,25.5,16,Running,-0.47,-0.51,decrease
LDL,Healthy,25.5,16,Running,-12.3,-6,decrease
Systolic Blood Pressure,Healthy,25.5,16,Running,-0.8,-1.9,decrease
Total Cholesterol,Healthy,25.5,16,Running,-9,-2.8,decrease
Triglycerides,Healthy,25.5,16,Running,-0.7,2,decrease
VO2max,Healthy,25.5,16,Running,4.6,2.4,increase
BMI,Healthy,21.5,6,Cycling,0,0,decrease
Body Mass,Healthy,21.5,6,Cycling,0,0,decrease
Diastolic Blood Pressure,Healthy,21.5,6,Cycling,-3,-4,decrease
Systolic Blood Pressure,Healthy,21.5,6,Cycling,-2,-1,decrease
VO2max,Healthy,21.5,6,Cycling,3.2,6.5,increase
BMI,Cardiac Rehabilitation,58.5,12,Cycling,0.1,-0.3,decrease
Body Mass,Cardiac Rehabilitation,58.5,12,Cycling,0.5,-0.5,decrease
C-reactive Protein,Cardiac Rehabilitation,58.5,12,Cycling,-0.106181,-0.198741,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,58.5,12,Cycling,-1.1,-3.7,decrease
Fasting Glucose,Cardiac Rehabilitation,58.5,12,Cycling,0.19,0.18,decrease
Flow-mediated Dilation,Cardiac Rehabilitation,58.5,12,Cycling,1.21,1.07,increase
HDL,Cardiac Rehabilitation,58.5,12,Cycling,0.08,0.09,increase
LDL,Cardiac Rehabilitation,58.5,12,Cycling,0.09,0.07,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,58.5,12,Cycling,0,-6,decrease
Total Cholesterol,Cardiac Rehabilitation,58.5,12,Cycling,0.17,0.16,decrease
Triglycerides,Cardiac Rehabilitation,58.5,12,Cycling,-0.02,-0.03,decrease
VO2max,Cardiac Rehabilitation,58.5,12,Cycling,5.1,4.4,increase
BMI,Cardiac Rehabilitation,64.5,12,Cycling,-0.4,-0.3,decrease
Body Mass,Cardiac Rehabilitation,64.5,12,Cycling,-1.2,-1.4,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,64.5,12,Cycling,2,-4,decrease
HDL,Cardiac Rehabilitation,64.5,12,Cycling,0.11,-0.06,increase
LDL,Cardiac Rehabilitation,64.5,12,Cycling,-0.01,-0.35,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,64.5,12,Cycling,-3,-6,decrease
Total Cholesterol,Cardiac Rehabilitation,64.5,12,Cycling,0.12,-0.37,decrease
Triglycerides,Cardiac Rehabilitation,64.5,12,Cycling,0.03,0.1,decrease
VO2max,Cardiac Rehabilitation,64.5,12,Cycling,5.3,3.4,increase
Body Fat,Overweight/obese,48.5,6,Running,-0.83,-0.17,decrease
Body Mass,Overweight/obese,48.5,6,Running,-2.29,-1.32,decrease
VO2max,Overweight/obese,48.5,6,Running,2.94,3.1,increase
BMI,Healthy,51,12,Cycling,-0.5,-0.4,decrease
Body Fat,Healthy,51,12,Cycling,-0.5,-0.3,decrease
Body Mass,Healthy,51,12,Cycling,-1.3,-0.9,decrease
Diastolic Blood Pressure,Healthy,51,12,Cycling,-5,-5,decrease
Fasting Glucose,Healthy,51,12,Cycling,-0.6,0.7,decrease
HbA1c,Healthy,51,12,Cycling,-0.11,-0.12,decrease
HDL,Healthy,51,12,Cycling,-2.9,-3.6,increase
LDL,Healthy,51,12,Cycling,-9.6,-4.9,decrease
Systolic Blood Pressure,Healthy,51,12,Cycling,-10,-10.5,decrease
Total Cholesterol,Healthy,51,12,Cycling,-2.8,-11.1,decrease
Triglycerides,Healthy,51,12,Cycling,30.6,-71.1,decrease
BMI,Overweight/obese,20,6,Cycling,-0.26,-0.35,decrease
Body Fat,Overweight/obese,20,6,Cycling,-0.88,-1.28,decrease
Body Mass,Overweight/obese,20,6,Cycling,-0.82,-1.09,decrease
Diastolic Blood Pressure,Overweight/obese,20,6,Cycling,1.6,-4.6,decrease
HDL,Overweight/obese,20,6,Cycling,-1.4,-2,increase
HOMA-IR,Overweight/obese,20,6,Cycling,0.16,-0.27,decrease
LDL,Overweight/obese,20,6,Cycling,-4.78,-7.8,decrease
Systolic Blood Pressure,Overweight/obese,20,6,Cycling,-0.3,-4.6,decrease
Total Cholesterol,Overweight/obese,20,6,Cycling,-9.2,-12.9,decrease
Triglycerides,Overweight/obese,20,6,Cycling,-15.3,-15.7,decrease
VO2max,Overweight/obese,20,6,Cycling,0.84,3.4,increase
BMI,Healthy,27.5,12,Cycling,-1,0,decrease
Body Fat,Healthy,27.5,12,Cycling,-2,-2,decrease
Body Mass,Healthy,27.5,12,Cycling,-1,-2,decrease
Fasting Glucose,Healthy,27.5,12,Cycling,0.4,0.4,decrease
Fasting Insulin,Healthy,27.5,12,Cycling,-1.7,-1.7,decrease
HOMA-IR,Healthy,27.5,12,Cycling,-0.2,-0.1,decrease
VO2max,Healthy,27.5,12,Cycling,5.19,6.88,increase
Body Mass,Healthy,27,8,Cycling,-2.7,0.3,decrease
VO2max,Healthy,27,8,Cycling,5.9,2.7,increase
