age,height,weight,heart_rate,workout_type,workout_duration
39,175,99,112,Cycling,79
36,157,112,168,Cardio,73
25,180,66,133,HIIT,27
56,154,89,118,Cycling,39
53,194,59,170,Strength,56
33,162,81,142,Yoga,11
48,151,82,114,Strength,109
59,189,61,159,Strength,83
37,182,113,123,Running,25
45,198,74,171,Cycling,60
28,167,84,147,Yoga,31
46,185,112,85,HIIT,111
38,178,71,98,Running,83
18,174,99,96,Cardio,60
38,179,75,85,Yoga,50
34,196,107,87,Cycling,18
26,185,74,92,HIIT,30
19,187,96,100,HIIT,94
20,178,52,120,Strength,52
44,189,62,148,Strength,51
38,177,54,91,Cycling,19
24,179,90,132,HIIT,35
56,159,107,174,Yoga,60
58,199,78,142,Cycling,52
21,157,82,175,HIIT,14
43,186,59,157,Yoga,90
28,151,110,112,Strength,61
54,198,69,108,Strength,76
40,159,99,169,Cycling,87
35,188,79,106,Cardio,101
26,168,86,115,Strength,112
19,160,92,85,Cardio,83
28,157,79,92,Yoga,31
39,182,51,127,Cardio,37
24,166,51,127,Cardio,16
21,193,73,173,Cardio,27
55,170,80,87,Yoga,63
42,174,55,89,Strength,67
48,156,71,109,Strength,15
29,192,107,88,Running,43
54,197,89,134,Yoga,108
42,179,63,128,Yoga,101
41,176,75,173,HIIT,108
20,158,58,112,HIIT,48
20,180,95,155,Cycling,86
44,167,113,131,HIIT,118
56,187,87,124,HIIT,80
36,170,83,144,Yoga,77
49,195,79,144,Running,103
27,198,97,108,Running,115
22,164,62,145,Running,45
47,193,57,157,Running,95
52,194,66,106,Running,118
19,162,65,91,Running,77
48,164,57,115,HIIT,100
28,189,75,97,Cardio,79
32,195,115,142,Cardio,12
39,172,95,134,Cycling,91
28,165,50,132,Cycling,38
32,190,71,136,Cycling,10
33,165,67,152,Running,27
59,158,91,160,Running,104
43,183,57,138,Running,50
57,161,97,167,Yoga,98
20,165,87,121,Cardio,45
47,189,102,170,Cycling,39
51,158,68,111,HIIT,39
23,188,78,147,Cardio,87
25,160,77,165,Running,24
25,165,60,93,Strength,53
53,184,85,115,HIIT,28
49,171,88,178,Cycling,114
53,193,76,128,Yoga,36
21,199,97,113,Cycling,55
34,161,54,109,Cycling,32
31,151,110,109,Cardio,40
20,165,100,112,Cycling,52
58,156,74,179,Cycling,95
38,181,101,119,Yoga,91
21,195,83,131,Yoga,54
56,199,93,170,HIIT,19
36,160,117,152,Yoga,32
59,197,92,150,HIIT,22
29,190,93,172,Strength,105
34,174,71,126,Yoga,117
57,179,62,103,Cycling,25
50,194,57,96,Yoga,51
56,170,55,88,Yoga,57
19,181,118,99,Running,29
19,172,75,90,HIIT,80
54,174,60,87,Cardio,12
36,162,61,145,Yoga,74
54,178,56,163,Yoga,115
38,189,82,95,HIIT,116
28,167,54,116,Cycling,70
47,199,83,156,Cycling,92
58,183,92,97,Cardio,101
23,182,53,168,Yoga,100
59,167,70,93,Running,107
36,151,83,104,Running,73
37,190,91,107,Strength,60
40,191,118,136,Strength,35
51,154,67,106,Cycling,82
26,154,107,97,Strength,26
56,189,104,177,HIIT,27
54,171,106,140,Yoga,90
50,193,73,177,Cardio,93
47,157,81,102,Cycling,83
34,192,89,127,Strength,13
24,169,110,128,Yoga,44
58,168,106,80,Cardio,48
22,152,72,90,Strength,62
52,199,52,90,Yoga,98
49,159,76,124,Cardio,74
39,152,112,158,Strength,35
21,170,87,81,Cardio,82
38,159,62,117,Strength,64
40,174,104,166,Running,82
31,187,111,80,Running,39
38,164,59,118,Cycling,55
40,191,100,155,HIIT,94
45,179,92,112,Cycling,81
22,174,102,105,Cycling,119
48,175,88,94,Cardio,74
35,185,55,90,Strength,96
47,174,97,155,Yoga,73
52,180,118,169,Strength,18
23,190,116,129,HIIT,82
24,160,87,155,HIIT,58
51,153,101,104,HIIT,114
42,191,92,85,Cardio,37
21,161,117,105,Running,59
39,157,64,134,HIIT,13
20,171,63,142,Yoga,47
55,159,55,114,Yoga,55
52,187,117,156,Yoga,40
59,176,67,161,Cycling,16
23,160,57,148,Cardio,96
37,170,107,115,Strength,54
45,189,55,92,Cycling,116
41,188,62,144,Running,25
56,150,108,178,Cycling,52
44,167,87,145,Strength,20
30,171,75,169,Yoga,113
57,171,75,108,Strength,102
51,195,106,98,Cardio,14
45,168,83,161,Running,52
58,156,59,179,Strength,47
59,195,79,120,Cycling,77
36,167,95,110,Yoga,68
40,181,83,160,HIIT,72
34,156,57,95,Strength,36
52,198,111,90,Cycling,82
31,168,52,153,HIIT,91
24,187,89,163,Running,82
40,192,60,84,Strength,28
59,180,52,134,HIIT,26
44,185,90,126,Yoga,12
57,157,118,156,HIIT,50
43,161,113,111,Cycling,108
20,174,56,134,Strength,101
50,176,69,179,Running,13
40,155,97,84,Running,51
57,156,79,134,HIIT,53
52,170,85,177,Yoga,70
25,171,57,80,Yoga,111
29,177,84,146,Cycling,73
41,194,101,154,HIIT,46
21,169,62,153,Running,35
45,172,65,155,Yoga,20
40,199,91,125,Cardio,22
57,155,60,129,Cardio,105
22,159,63,160,HIIT,111
31,195,53,147,HIIT,52
29,167,65,178,Cardio,88
38,191,79,138,Cycling,41
46,151,81,177,Cardio,89
56,190,89,121,Yoga,41
26,189,103,151,Yoga,111
57,177,69,111,Yoga,24
44,175,115,131,Running,66
36,165,53,172,Cycling,25
33,181,89,134,Strength,78
27,197,73,132,Strength,88
57,197,63,102,Cycling,76
23,166,89,146,Strength,16
53,170,64,133,HIIT,46
44,168,115,131,Cycling,49
59,174,76,87,Yoga,53
21,151,98,115,Yoga,79
57,161,90,86,Yoga,106
20,165,54,123,Yoga,32
29,150,85,98,Cardio,27
34,152,93,139,Yoga,71
25,152,112,159,Cycling,11
41,161,56,137,Strength,98
39,162,56,120,Strength,97
32,185,56,121,Yoga,54
36,179,119,111,Strength,56
29,161,86,171,Yoga,98
53,194,115,106,HIIT,85
51,184,106,133,Strength,75
25,167,78,135,Cycling,112
25,187,115,171,Yoga,97
54,175,85,140,Cycling,57
42,151,112,147,Running,39
57,194,91,141,Strength,68
24,178,77,179,Yoga,18
26,180,68,155,HIIT,49
18,155,77,150,Yoga,59
40,176,95,137,Cardio,76
44,194,82,104,Strength,66
19,154,101,143,HIIT,107
55,190,100,169,Strength,72
55,183,72,82,Cardio,26
37,171,97,178,Yoga,12
49,181,57,88,Cardio,108
37,154,96,96,Running,57
58,182,76,147,Cardio,71
54,161,86,168,Cycling,11
34,174,68,167,Strength,94
23,187,93,82,Yoga,85
52,193,90,119,Cycling,43
41,196,94,153,Cycling,117
41,180,104,87,Cycling,91
51,185,68,158,Running,74
34,191,61,166,Yoga,73
23,155,95,139,Cycling,28
55,163,103,89,HIIT,74
43,198,97,112,Running,14
25,158,97,87,Strength,104
25,191,114,155,Cycling,18
49,199,52,139,Cycling,23
43,193,84,160,Running,92
54,178,79,179,Running,12
58,185,78,144,Cycling,91
57,164,104,134,Yoga,41
38,167,86,105,Yoga,84
21,176,111,93,Running,56
23,187,87,107,Running,17
51,160,91,99,Running,81
24,170,99,167,Strength,73
19,174,84,123,Strength,57
56,191,64,158,Yoga,118
28,181,64,117,Cycling,69
33,170,59,100,Yoga,32
55,178,75,174,Strength,82
59,194,101,160,HIIT,113
41,171,99,128,Cardio,106
32,160,91,169,Yoga,43
53,172,55,130,Running,16
37,156,110,141,Strength,119
40,153,91,105,Cycling,50
40,155,98,96,Yoga,12
30,155,93,146,Yoga,48
18,183,95,161,Cycling,58
38,166,85,153,HIIT,44
51,160,115,142,Cycling,107
27,177,68,103,Yoga,20
51,167,74,147,Cycling,12
40,162,80,100,Strength,68
22,157,67,106,HIIT,89
43,160,54,102,Running,81
56,185,97,86,Cycling,86
55,192,115,113,HIIT,75
34,173,119,160,HIIT,46
40,181,91,117,Running,85
37,190,107,110,Running,33
41,182,82,144,Strength,13
19,192,68,103,Strength,78
47,156,113,142,Yoga,109
27,157,70,90,HIIT,70
38,179,81,172,Cardio,47
32,178,53,109,Yoga,86
53,166,104,130,Cardio,88
36,170,84,138,Yoga,73
40,152,99,123,Running,39
56,164,50,116,Running,104
28,176,71,110,HIIT,85
41,153,72,98,Yoga,75
23,191,53,122,Yoga,34
46,155,63,131,Cardio,119
27,196,70,88,HIIT,85
58,182,56,115,Cardio,87
38,159,108,158,Running,78
45,177,102,151,HIIT,64
23,157,93,146,Yoga,52
34,165,74,97,Running,77
32,173,52,93,Yoga,78
58,173,97,118,Cardio,113
29,160,52,137,Running,97
43,196,116,174,HIIT,111
44,155,64,164,Cycling,19
26,167,94,134,Strength,102
56,184,119,151,Cardio,16
38,152,109,90,HIIT,65
46,170,102,157,Cycling,118
28,154,97,171,Strength,53
23,152,52,163,Strength,40
18,194,50,116,HIIT,15
32,181,74,124,Running,18
19,159,64,92,Cardio,29
43,151,76,167,Running,92
20,174,116,149,Cycling,40
22,167,58,92,Cardio,109
21,183,106,170,Strength,23
28,189,72,176,Strength,54
40,163,119,164,Strength,78
31,154,64,133,Running,111
40,165,66,113,HIIT,60
46,175,50,80,Running,102
49,162,115,120,Running,100
21,190,101,177,HIIT,34
19,152,71,134,Cycling,34
41,181,94,123,Cycling,26
22,166,89,86,Strength,68
41,170,53,93,Cycling,27
59,178,75,145,Yoga,44
47,184,113,135,Cycling,96
54,193,53,155,Yoga,67
41,155,116,89,Yoga,113
56,166,119,135,Cycling,77
18,161,99,174,Cardio,70
33,194,98,141,Running,31
48,179,119,157,Running,72
49,192,82,137,Running,11
26,154,116,163,Yoga,94
35,171,102,111,Strength,25
46,172,95,95,Running,108
21,179,62,154,Cycling,108
41,171,85,97,Running,92
28,197,53,146,Yoga,105
27,172,112,134,Yoga,58
23,191,81,123,Running,47
45,170,102,149,Strength,112
51,151,84,85,HIIT,101
38,190,88,165,HIIT,10
39,172,99,102,Yoga,108
29,157,60,114,Yoga,75
30,195,50,95,Cardio,118
26,183,107,155,Cardio,19
48,171,87,106,Cardio,96
55,184,78,108,HIIT,104
29,188,115,124,HIIT,67
40,160,118,168,Cardio,104
31,189,109,176,Cardio,54
50,150,104,176,Cardio,76
39,178,61,172,Running,107
38,180,90,125,Yoga,77
54,190,100,145,Strength,36
57,199,107,160,Running,22
52,168,101,171,Cardio,79
44,170,88,123,Cardio,23
51,179,60,94,HIIT,117
55,188,88,139,Strength,48
18,155,94,109,Cardio,97
42,163,63,152,HIIT,81
30,166,57,87,Cardio,67
34,181,98,123,Cardio,86
26,168,108,133,Strength,106
51,188,82,176,Yoga,61
38,198,50,81,HIIT,39
48,186,64,118,Running,59
23,171,92,90,Yoga,74
32,173,75,112,Cycling,20
47,168,53,86,Cardio,30
58,186,86,112,Running,109
45,159,85,142,Yoga,107
19,182,93,107,Yoga,47
51,160,79,113,Yoga,28
58,175,100,135,HIIT,99
52,187,75,120,HIIT,51
36,180,115,148,Cardio,114
47,172,56,178,HIIT,104
45,159,74,135,Cycling,15
27,155,74,107,Yoga,90
51,185,77,128,Cardio,119
59,182,69,81,Running,110
20,188,105,122,Strength,17
41,196,87,101,Strength,26
37,174,56,89,HIIT,115
