age,height,weight,heart_rate
39,175,99,112
36,157,112,168
25,180,66,133
56,154,89,118
53,194,59,170
33,162,81,142
48,151,82,114
59,189,61,159
37,182,113,123
45,198,74,171
28,167,84,147
46,185,112,85
38,178,71,98
18,174,99,96
38,179,75,85
34,196,107,87
26,185,74,92
19,187,96,100
20,178,52,120
44,189,62,148
38,177,54,91
24,179,90,132
56,159,107,174
58,199,78,142
21,157,82,175
43,186,59,157
28,151,110,112
54,198,69,108
40,159,99,169
35,188,79,106
26,168,86,115
19,160,92,85
28,157,79,92
39,182,51,127
24,166,51,127
21,193,73,173
55,170,80,87
42,174,55,89
48,156,71,109
29,192,107,88
54,197,89,134
42,179,63,128
41,176,75,173
20,158,58,112
20,180,95,155
44,167,113,131
56,187,87,124
36,170,83,144
49,195,79,144
27,198,97,108
22,164,62,145
47,193,57,157
52,194,66,106
19,162,65,91
48,164,57,115
28,189,75,97
32,195,115,142
39,172,95,134
28,165,50,132
32,190,71,136
33,165,67,152
59,158,91,160
43,183,57,138
57,161,97,167
20,165,87,121
47,189,102,170
51,158,68,111
23,188,78,147
25,160,77,165
25,165,60,93
53,184,85,115
49,171,88,178
53,193,76,128
21,199,97,113
34,161,54,109
31,151,110,109
20,165,100,112
58,156,74,179
38,181,101,119
21,195,83,131
56,199,93,170
36,160,117,152
59,197,92,150
29,190,93,172
34,174,71,126
57,179,62,103
50,194,57,96
56,170,55,88
19,181,118,99
19,172,75,90
54,174,60,87
36,162,61,145
54,178,56,163
38,189,82,95
28,167,54,116
47,199,83,156
58,183,92,97
23,182,53,168
59,167,70,93
36,151,83,104
37,190,91,107
40,191,118,136
51,154,67,106
26,154,107,97
56,189,104,177
54,171,106,140
50,193,73,177
47,157,81,102
34,192,89,127
24,169,110,128
58,168,106,80
22,152,72,90
52,199,52,90
49,159,76,124
39,152,112,158
21,170,87,81
38,159,62,117
40,174,104,166
31,187,111,80
38,164,59,118
40,191,100,155
45,179,92,112
22,174,102,105
48,175,88,94
35,185,55,90
47,174,97,155
52,180,118,169
23,190,116,129
24,160,87,155
51,153,101,104
42,191,92,85
21,161,117,105
39,157,64,134
20,171,63,142
55,159,55,114
52,187,117,156
59,176,67,161
23,160,57,148
37,170,107,115
45,189,55,92
41,188,62,144
56,150,108,178
44,167,87,145
30,171,75,169
57,171,75,108
51,195,106,98
45,168,83,161
58,156,59,179
59,195,79,120
36,167,95,110
40,181,83,160
34,156,57,95
52,198,111,90
31,168,52,153
24,187,89,163
40,192,60,84
59,180,52,134
44,185,90,126
57,157,118,156
43,161,113,111
20,174,56,134
50,176,69,179
40,155,97,84
57,156,79,134
52,170,85,177
25,171,57,80
29,177,84,146
41,194,101,154
21,169,62,153
45,172,65,155
40,199,91,125
57,155,60,129
22,159,63,160
31,195,53,147
29,167,65,178
38,191,79,138
46,151,81,177
56,190,89,121
26,189,103,151
57,177,69,111
44,175,115,131
36,165,53,172
33,181,89,134
27,197,73,132
57,197,63,102
23,166,89,146
53,170,64,133
44,168,115,131
59,174,76,87
21,151,98,115
57,161,90,86
20,165,54,123
29,150,85,98
34,152,93,139
25,152,112,159
41,161,56,137
39,162,56,120
32,185,56,121
36,179,119,111
29,161,86,171
53,194,115,106
51,184,106,133
25,167,78,135
25,187,115,171
54,175,85,140
42,151,112,147
57,194,91,141
24,178,77,179
26,180,68,155
18,155,77,150
40,176,95,137
44,194,82,104
19,154,101,143
55,190,100,169
55,183,72,82
37,171,97,178
49,181,57,88
37,154,96,96
58,182,76,147
54,161,86,168
34,174,68,167
23,187,93,82
52,193,90,119
41,196,94,153
41,180,104,87
51,185,68,158
34,191,61,166
23,155,95,139
55,163,103,89
43,198,97,112
25,158,97,87
25,191,114,155
49,199,52,139
43,193,84,160
54,178,79,179
58,185,78,144
57,164,104,134
38,167,86,105
21,176,111,93
23,187,87,107
51,160,91,99
24,170,99,167
19,174,84,123
56,191,64,158
28,181,64,117
33,170,59,100
55,178,75,174
59,194,101,160
41,171,99,128
32,160,91,169
53,172,55,130
37,156,110,141
40,153,91,105
40,155,98,96
