endpoint,population,age,target_protocol,Cluster
BMI,T2D,0.7254190759224944,2 Cycling,2
HbA1c,T2D,0.7254190759224944,2 Cycling,2
HDL,T2D,0.7254190759224944,2 Cycling,2
HOMA-IR,T2D,0.7254190759224944,2 Cycling,2
LDL,T2D,0.7254190759224944,2 Cycling,2
Body Mass,Overweight/obese,-0.34180303720954314,0 Running,1
Flow-mediated Dilation,Overweight/obese,-0.34180303720954314,2 Running,1
VO2max,Overweight/obese,-0.34180303720954314,2 Running,1
Body Fat,Overweight/obese,1.2788159913366457,3 Running,0
Body Mass,Overweight/obese,1.2788159913366457,1 Running,0
VO2max,Overweight/obese,1.2788159913366457,2 Running,0
Body Fat,Healthy,-1.4267045979074602,3 Cycling,3
Body Mass,Healthy,-1.4267045979074602,0 Cycling,3
VO2max,Healthy,-1.4267045979074602,2 Cycling,3
Diastolic Blood Pressure,Healthy,-1.3032361311829757,2 Running,3
Fasting Glucose,Healthy,-1.3032361311829757,3 Running,3
Fasting Insulin,Healthy,-1.3032361311829757,2 Running,3
HDL,Healthy,-1.3032361311829757,2 Running,3
HOMA-IR,Healthy,-1.3032361311829757,2 Running,3
LDL,Healthy,-1.3032361311829757,2 Running,3
Systolic Blood Pressure,Healthy,-1.3032361311829757,2 Running,3
Total Cholesterol,Healthy,-1.3032361311829757,2 Running,3
Triglycerides,Healthy,-1.3032361311829757,0 Running,3
VO2max,Healthy,-1.3032361311829757,2 Running,3
BMI,Healthy,-1.5475773775322987,3 Cycling,3
Body Mass,Healthy,-1.5475773775322987,3 Cycling,3
Diastolic Blood Pressure,Healthy,-1.5475773775322987,2 Cycling,3
Systolic Blood Pressure,Healthy,-1.5475773775322987,2 Cycling,3
BMI,Cardiac Rehabilitation,1.0191585967212669,3 Cycling,2
Body Mass,Cardiac Rehabilitation,1.0191585967212669,1 Cycling,0
C-reactive Protein,Cardiac Rehabilitation,1.0191585967212669,3 Cycling,0
Diastolic Blood Pressure,Cardiac Rehabilitation,1.0191585967212669,2 Cycling,0
