endpoint,population,age,duration,target_protocol,Cluster
BMI,T2D,0.7254190759224944,-0.15298233097201772,2 Cycling,0
HbA1c,T2D,0.7254190759224944,-0.15298233097201772,2 Cycling,0
HDL,T2D,0.7254190759224944,-0.15298233097201772,2 Cycling,0
HOMA-IR,T2D,0.7254190759224944,-0.15298233097201772,2 Cycling,0
LDL,T2D,0.7254190759224944,-0.15298233097201772,2 Cycling,0
Body Mass,Overweight/obese,-0.34180303720954314,-0.5917055221762885,0 Running,2
Flow-mediated Dilation,Overweight/obese,-0.34180303720954314,-0.5917055221762885,2 Running,1
VO2max,Overweight/obese,-0.34180303720954314,-0.5917055221762885,2 Running,1
Body Fat,Overweight/obese,1.2788159913366457,0.6811884010827814,3 Running,0
Body Mass,Overweight/obese,1.2788159913366457,0.6811884010827814,1 Running,0
VO2max,Overweight/obese,1.2788159913366457,0.6811884010827814,2 Running,0
Body Fat,Healthy,-1.4267045979074602,-0.5917055221762885,3 Cycling,2
Body Mass,Healthy,-1.4267045979074602,-0.5917055221762885,0 Cycling,2
VO2max,Healthy,-1.4267045979074602,-0.5917055221762885,2 Cycling,2
Diastolic Blood Pressure,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
Fasting Glucose,Healthy,-1.3032361311829757,1.474455556359349,3 Running,2
Fasting Insulin,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
HDL,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
HOMA-IR,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
LDL,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
Systolic Blood Pressure,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
Total Cholesterol,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
Triglycerides,Healthy,-1.3032361311829757,1.474455556359349,0 Running,2
VO2max,Healthy,-1.3032361311829757,1.474455556359349,2 Running,2
BMI,Healthy,-1.5475773775322987,-0.5917055221762885,3 Cycling,2
Body Mass,Healthy,-1.5475773775322987,-0.5917055221762885,3 Cycling,2
Diastolic Blood Pressure,Healthy,-1.5475773775322987,-0.5917055221762885,2 Cycling,2
Systolic Blood Pressure,Healthy,-1.5475773775322987,-0.5917055221762885,2 Cycling,2
BMI,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,3 Cycling,0
Body Mass,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,1 Cycling,0
C-reactive Protein,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,3 Cycling,0
Diastolic Blood Pressure,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,2 Cycling,0
Fasting Glucose,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,3 Cycling,0
Flow-mediated Dilation,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,2 Cycling,0
HDL,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,2 Cycling,0
LDL,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,3 Cycling,0
Systolic Blood Pressure,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,1 Cycling,0
Total Cholesterol,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,3 Cycling,0
Triglycerides,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,3 Cycling,0
VO2max,Cardiac Rehabilitation,1.0191585967212669,0.6811884010827814,2 Cycling,0
BMI,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,0 Cycling,0
Body Mass,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,2 Cycling,0
Diastolic Blood Pressure,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,1 Cycling,0
HDL,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,2 Cycling,0
LDL,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,3 Cycling,0
Systolic Blood Pressure,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,2 Cycling,0
Total Cholesterol,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,3 Cycling,0
Triglycerides,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,3 Cycling,0
VO2max,Cardiac Rehabilitation,1.486791747310548,0.6811884010827814,2 Cycling,0
Body Fat,Overweight/obese,0.26718709086732545,-0.5917055221762885,0 Running,1
Body Mass,Overweight/obese,0.26718709086732545,-0.5917055221762885,2 Running,1
VO2max,Overweight/obese,0.26718709086732545,-0.5917055221762885,2 Running,1
BMI,Healthy,0.4517735673904931,0.6811884010827814,2 Cycling,0
Body Fat,Healthy,0.4517735673904931,0.6811884010827814,0 Cycling,0
Body Mass,Healthy,0.4517735673904931,0.6811884010827814,2 Cycling,0
Diastolic Blood Pressure,Healthy,0.4517735673904931,0.6811884010827814,2 Cycling,0
Fasting Glucose,Healthy,0.4517735673904931,0.6811884010827814,0 Cycling,0
HbA1c,Healthy,0.4517735673904931,0.6811884010827814,3 Cycling,0
HDL,Healthy,0.4517735673904931,0.6811884010827814,3 Cycling,0
LDL,Healthy,0.4517735673904931,0.6811884010827814,2 Cycling,0
BMI,Healthy,-1.17731866362507,0.6811884010827814,0 Cycling,2
Body Fat,Healthy,-1.17731866362507,0.6811884010827814,2 Cycling,2
Body Mass,Healthy,-1.17731866362507,0.6811884010827814,2 Cycling,2
Fasting Glucose,Healthy,-1.17731866362507,0.6811884010827814,3 Cycling,2
Fasting Insulin,Healthy,-1.17731866362507,0.6811884010827814,2 Cycling,2
HOMA-IR,Healthy,-1.17731866362507,0.6811884010827814,3 Cycling,2
Body Mass,Healthy,-1.2090203180467627,-0.15298233097201772,0 Cycling,2
VO2max,Healthy,-1.2090203180467627,-0.15298233097201772,2 Cycling,2
Body Mass,Healthy,-1.5773707401235406,-1.0513434085240798,1 Cycling,2
Body Mass,Healthy,-1.5773707401235406,-1.0513434085240798,1 Cycling,2
BMI,Healthy,-1.517611347237556,-1.0513434085240798,3 Cycling,2
Body Fat,Healthy,-1.517611347237556,-1.0513434085240798,1 Cycling,2
Body Mass,Healthy,-1.517611347237556,-1.0513434085240798,1 Cycling,2
Fasting Glucose,Healthy,-1.517611347237556,-1.0513434085240798,3 Cycling,2
HDL,Healthy,-1.517611347237556,-1.0513434085240798,2 Cycling,2
HOMA-IR,Healthy,-1.517611347237556,-1.0513434085240798,3 Cycling,2
Total Cholesterol,Healthy,-1.517611347237556,-1.0513434085240798,3 Cycling,2
VO2max,Healthy,-1.517611347237556,-1.0513434085240798,2 Cycling,2
Body Mass,Healthy,-1.359108315026251,-0.15298233097201772,2 Running,2
Body Mass,Healthy,-1.359108315026251,-0.15298233097201772,2 Running,2
HDL,Healthy,-1.359108315026251,-0.15298233097201772,2 Running,2
LDL,Healthy,-1.359108315026251,-0.15298233097201772,3 Running,2
Total Cholesterol,Healthy,-1.359108315026251,-0.15298233097201772,3 Running,2
Triglycerides,Healthy,-1.359108315026251,-0.15298233097201772,3 Running,2
VO2max,Healthy,-1.359108315026251,-0.15298233097201772,2 Running,2
VO2max,Healthy,-1.359108315026251,-0.15298233097201772,2 Running,2
BMI,Healthy,0.19402197295402532,-1.5424434011628405,3 Cycling,1
Body Fat,Healthy,0.19402197295402532,-1.5424434011628405,2 Cycling,1
Body Mass,Healthy,0.19402197295402532,-1.5424434011628405,0 Cycling,1
Diastolic Blood Pressure,Healthy,0.19402197295402532,-1.5424434011628405,3 Cycling,1
Fasting Glucose,Healthy,0.19402197295402532,-1.5424434011628405,3 Cycling,1
Fasting Insulin,Healthy,0.19402197295402532,-1.5424434011628405,3 Cycling,1
HbA1c,Healthy,0.19402197295402532,-1.5424434011628405,2 Cycling,1
HDL,Healthy,0.19402197295402532,-1.5424434011628405,2 Cycling,1
LDL,Healthy,0.19402197295402532,-1.5424434011628405,0 Cycling,1
Systolic Blood Pressure,Healthy,0.19402197295402532,-1.5424434011628405,3 Cycling,1
Total Cholesterol,Healthy,0.19402197295402532,-1.5424434011628405,0 Cycling,1
Triglycerides,Healthy,0.19402197295402532,-1.5424434011628405,3 Cycling,1
VO2max,Healthy,0.19402197295402532,-1.5424434011628405,2 Cycling,1
BMI,T2D,0.15758575410173603,-1.5424434011628405,3 Cycling,1
Body Fat,T2D,0.15758575410173603,-1.5424434011628405,2 Cycling,1
Body Mass,T2D,0.15758575410173603,-1.5424434011628405,3 Cycling,1
Diastolic Blood Pressure,T2D,0.15758575410173603,-1.5424434011628405,2 Cycling,1
Fasting Glucose,T2D,0.15758575410173603,-1.5424434011628405,3 Cycling,1
Fasting Insulin,T2D,0.15758575410173603,-1.5424434011628405,2 Cycling,1
HbA1c,T2D,0.15758575410173603,-1.5424434011628405,2 Cycling,1
HDL,T2D,0.15758575410173603,-1.5424434011628405,2 Cycling,1
LDL,T2D,0.15758575410173603,-1.5424434011628405,3 Cycling,1
Systolic Blood Pressure,T2D,0.15758575410173603,-1.5424434011628405,2 Cycling,1
Total Cholesterol,T2D,0.15758575410173603,-1.5424434011628405,0 Cycling,1
Triglycerides,T2D,0.15758575410173603,-1.5424434011628405,3 Cycling,1
VO2max,T2D,0.15758575410173603,-1.5424434011628405,0 Cycling,1
C-reactive Protein,Healthy,-1.4267045979074602,-1.5424434011628405,3 Cycling,1
HOMA-IR,Healthy,-1.4267045979074602,-1.5424434011628405,0 Cycling,1
BMI,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,1 Running,0
Body Mass,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,2 Running,0
Diastolic Blood Pressure,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,2 Running,0
Fasting Glucose,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,2 Running,0
Flow-mediated Dilation,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,2 Running,0
HDL,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,2 Running,0
LDL,Metabolic Syndrome,0.4406320502179384,-0.15298233097201772,2 Running,0
Body Fat,Overweight/obese,-0.13028961470811368,0.6811884010827814,2 Cycling,0
Body Mass,Overweight/obese,-0.13028961470811368,0.6811884010827814,1 Cycling,0
C-reactive Protein,Overweight/obese,-0.13028961470811368,0.6811884010827814,1 Cycling,0
Diastolic Blood Pressure,Overweight/obese,-0.13028961470811368,0.6811884010827814,2 Cycling,0
Fasting Glucose,Overweight/obese,-0.13028961470811368,0.6811884010827814,3 Cycling,0
Fasting Insulin,Overweight/obese,-0.13028961470811368,0.6811884010827814,2 Cycling,0
HDL,Overweight/obese,-0.13028961470811368,0.6811884010827814,2 Cycling,0
LDL,Overweight/obese,-0.13028961470811368,0.6811884010827814,3 Cycling,0
Systolic Blood Pressure,Overweight/obese,-0.13028961470811368,0.6811884010827814,2 Cycling,0
Total Cholesterol,Overweight/obese,-0.13028961470811368,0.6811884010827814,3 Cycling,0
Triglycerides,Overweight/obese,-0.13028961470811368,0.6811884010827814,3 Cycling,0
VO2max,Overweight/obese,-0.13028961470811368,0.6811884010827814,2 Cycling,0
Diastolic Blood Pressure,Cardiac Rehabilitation,1.0576775469863042,0.2702269135143011,0 Running,0
Systolic Blood Pressure,Cardiac Rehabilitation,1.0576775469863042,0.2702269135143011,0 Running,0
VO2max,Cardiac Rehabilitation,1.0576775469863042,0.2702269135143011,2 Running,0
C-reactive Protein,Cardiac Rehabilitation,1.026855677365162,-0.5917055221762885,2 Running,0
HDL,Cardiac Rehabilitation,1.026855677365162,-0.5917055221762885,2 Running,0
VO2max,Cardiac Rehabilitation,1.026855677365162,-0.5917055221762885,2 Running,1
Body Mass,Healthy,1.4473806458962641,-1.5424434011628405,3 Cycling,1
Diastolic Blood Pressure,Healthy,1.4473806458962641,-1.5424434011628405,2 Cycling,1
Flow-mediated Dilation,Healthy,1.4473806458962641,-1.5424434011628405,3 Cycling,1
Systolic Blood Pressure,Healthy,1.4473806458962641,-1.5424434011628405,2 Cycling,1
VO2max,Healthy,1.4473806458962641,-1.5424434011628405,2 Cycling,1
Fasting Glucose,Healthy,-1.2493838607153143,-0.8184342950602039,1 Running,2
BMI,Overweight/obese,0.31127150834092876,0.6811884010827814,3 Running,0
BMI,Overweight/obese,0.31127150834092876,0.6811884010827814,3 Running,0
Body Fat,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
Body Fat,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
Diastolic Blood Pressure,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
Diastolic Blood Pressure,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
HDL,Overweight/obese,0.31127150834092876,0.6811884010827814,3 Running,0
HDL,Overweight/obese,0.31127150834092876,0.6811884010827814,3 Running,0
HOMA-IR,Overweight/obese,0.31127150834092876,0.6811884010827814,3 Running,0
HOMA-IR,Overweight/obese,0.31127150834092876,0.6811884010827814,3 Running,0
Systolic Blood Pressure,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
Systolic Blood Pressure,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
Triglycerides,Overweight/obese,0.31127150834092876,0.6811884010827814,2 Running,0
VO2max,Overweight/obese,0.31127150834092876,0.6811884010827814,0 Running,0
VO2max,Overweight/obese,0.31127150834092876,0.6811884010827814,0 Running,0
Body Fat,Healthy,-1.4205915199518915,-0.5917055221762885,2 Cycling,2
Body Mass,Healthy,-1.4205915199518915,-0.5917055221762885,0 Cycling,2
BMI,Cardiac Rehabilitation,0.9807237230435317,0.6811884010827814,3 Running,0
