study,endpoint,population,age,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,bsln,bsln_adjusted,category_bsln,N_HIIE,Mean_HIIE,SD_HIIE,N_MICT,Mean_MICT,SD_MICT,HIIE,desired_effect
Abdelbasset 2020,BMI,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,36.5,36.5,BMI > 30 kg/m²,16,-2.2,2.47891105124811,15,-2.40000000000001,1.85202591774521,HIIT,decrease
Abdelbasset 2020,HbA1c,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,47.545,47.545,> 40 mmol/mol,16,-0.4,0.214476105895272,15,-0.4,0.264575131106459,HIIT,decrease
Abdelbasset 2020,HDL,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,0.97279792746114,0.97279792746114,< 1.3 mmol/L,16,2.1,2.03568170399992,15,2.3,1.88573593061171,HIIT,increase
Abdelbasset 2020,HOMA-IR,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,4.8,4.8,> 3,16,-0.800000000000001,1.23125951772971,15,-0.8,1.00995049383621,HIIT,decrease
Abdelbasset 2020,LDL,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,2.5220207253886,2.5220207253886,< 3 mmol/L,16,-5.89999999999999,2.8467525357853,15,-7.10000000000001,3.01264003823889,HIIT,decrease
Abdelbasset 2020,Total Cholesterol,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,4.98186528497409,4.98186528497409,< 5.2 mmol/L,16,-14.9,5.00599640431353,15,-12.8,4.79353731601205,HIIT,decrease
Abdelbasset 2020,Triglycerides,T2D,54.65,> 50 y,8,5 - 10 weeks,0.58,> 0.5,Cycling,2.20734463276836,2.20734463276836,> 1.7 mmol/L,16,-20.6,6.20822035691389,15,-19.1,6.71386624829539,HIIT,decrease
Bækkerud 2016,Body Mass,Overweight/obese,40.0,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,92.8,30.2,BMI > 30 kg/m²,8,-0.899999999999992,9.99109603597123,9,-0.200000000000003,6.6932802122726,HIIT,decrease
Bækkerud 2016,Flow-mediated Dilation,Overweight/obese,40.0,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,6.5,6.5,> 6 %,8,0.699999999999999,3.74259268422306,9,2.7,2.83725219182222,HIIT,increase
Bækkerud 2016,VO2max,Overweight/obese,40.0,30 - 50 y,6,5 - 10 weeks,0.41,< 0.5,Running,34.05,40.8661047248529,30 - 60%,8,2.8,4.60966376214144,9,0.399999999999999,3.64609380021963,HIIT,increase
Beetham 2019,Body Fat,Overweight/obese,61.85,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,36.4,30.8,BMI > 30 kg/m²,9,0.1,1.5,5,0.2,2.8,HIIT,decrease
Beetham 2019,Body Mass,Overweight/obese,61.85,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,85.55,30.8,BMI > 30 kg/m²,9,0.1,2.0,5,-1.3,1.9,HIIT,decrease
Beetham 2019,Diastolic Blood Pressure,Overweight/obese,61.85,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,77.3,77.3,< 80 mmHg,9,4.3,12.8,5,-11,9.4,HIIT,decrease
Beetham 2019,Systolic Blood Pressure,Overweight/obese,61.85,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,133.4,133.4,120 - 140 mmHg,9,1.3,15.3,5,-9.8,11.1,HIIT,decrease
Beetham 2019,VO2max,Overweight/obese,61.85,> 50 y,12,> 10 weeks,0.7,> 0.5,Running,22.0,3.14212987337504,< 30%,9,0.1,2.4,5,1.6,2.3,HIIT,increase
Burgomaster 2008,Body Fat,Healthy,23.5,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,24.5,24.05,BMI < 25 kg/m²,10,1.0,3.46410161513776,10,0,3.46410161513776,SIT,decrease
Burgomaster 2008,Body Mass,Healthy,23.5,< 30 y,6,5 - 10 weeks,0.5,< 0.5,Cycling,72.0,24.05,BMI < 25 kg/m²,10,-1.0,5.19615242270663,10,0,6.92820323027551,SIT,decrease
